,bot,id,tweet_var,500<var<750
0,1,21478911,385.058622,0
1,1,21479094,385.058622,0
2,1,21479204,385.058622,0
3,1,21479275,385.058622,0
4,1,21479334,385.058622,0
5,1,21479394,385.058622,0
6,1,21479442,385.058622,0
7,1,21479515,385.058622,0
8,1,21479634,385.058622,0
9,1,21479698,385.058622,0
10,1,21479860,385.058622,0
11,1,21479914,385.058622,0
12,1,21479977,385.058622,0
13,1,21480027,385.058622,0
14,1,21480769,385.058622,0
15,1,21482763,385.058622,0
16,1,21483823,385.058622,0
17,1,21484370,385.058622,0
18,1,21567392,385.058622,0
19,1,21567639,385.058622,0
20,1,21568376,385.058622,0
21,1,21629042,385.058622,0
22,1,21629735,385.058622,0
23,1,21630333,385.058622,0
24,1,21674676,385.058622,0
25,1,21677965,385.058622,0
26,1,21678728,385.058622,0
27,1,21680130,385.058622,0
28,1,21681088,385.058622,0
29,1,21684197,385.058622,0
30,1,21684270,385.058622,0
31,1,21685911,385.058622,0
32,1,21686515,385.058622,0
33,1,21696097,385.058622,0
34,1,21705621,385.058622,0
35,1,21706193,385.058622,0
36,1,21707595,385.058622,0
37,1,21713167,385.058622,0
38,1,21723832,385.058622,0
39,1,21726078,385.058622,0
40,1,21728481,385.058622,0
41,1,21729815,385.058622,0
42,1,21730510,385.058622,0
43,1,21730941,385.058622,0
44,1,21763432,385.058622,0
45,1,21830006,385.058622,0
46,1,21965822,385.058622,0
47,1,21967306,385.058622,0
48,1,21967510,385.058622,0
49,1,21967668,385.058622,0
50,1,21967892,385.058622,0
51,1,21968201,385.058622,0
52,1,21968719,385.058622,0
53,1,21969267,385.058622,0
54,1,22010527,385.058622,0
55,1,22025314,385.058622,0
56,1,22026158,385.058622,0
57,1,22028233,385.058622,0
58,1,22028414,385.058622,0
59,1,22028695,385.058622,0
60,1,22030301,385.058622,0
61,1,22030384,385.058622,0
62,1,22030524,385.058622,0
63,1,22030724,385.058622,0
64,1,22032722,385.058622,0
65,1,22033042,385.058622,0
66,1,22033273,385.058622,0
67,1,22036045,385.058622,0
68,1,22036335,385.058622,0
69,1,22036558,385.058622,0
70,1,22036700,385.058622,0
71,1,22036862,385.058622,0
72,1,22037090,385.058622,0
73,1,22037363,385.058622,0
74,1,22037511,385.058622,0
75,1,22037687,385.058622,0
76,1,22054390,385.058622,0
77,1,22262660,385.058622,0
78,1,22287588,385.058622,0
79,1,22293089,385.058622,0
80,1,22294066,385.058622,0
81,1,22324329,385.058622,0
82,1,22328759,385.058622,0
83,1,22328975,385.058622,0
84,1,22363501,385.058622,0
85,1,22363847,385.058622,0
86,1,22365931,385.058622,0
87,1,22366503,385.058622,0
88,1,22369946,385.058622,0
89,1,22394939,385.058622,0
90,1,22408580,385.058622,0
91,1,22411670,385.058622,0
92,1,22444380,385.058622,0
93,1,22450103,385.058622,0
94,1,22516953,385.058622,0
95,1,22536061,385.058622,0
96,1,22574982,385.058622,0
97,1,22578323,385.058622,0
98,1,22635533,385.058622,0
99,1,22663627,385.058622,0
100,1,22726923,385.058622,0
