,id,p_retweet,p_favorites,p_hashtags,p_urls,p_mentions,avg_tweets_per_hour
0,16195340.0,0.19494139420111042,0.13479333744602098,0.3775447254780999,0.7190006169031462,0.1906230721776681,3.2387612387612386
1,26364491.0,300.8141839578817,0.35088262620006194,0.07835243109321771,0.13161969650046454,0.6546918550634871,4.967692307692308
2,27164845.0,27.991329479768787,0.05844572896596018,0.06358381502890173,0.05073859987154785,1.0372511239563262,6.682403433476395
3,29922606.0,0.04930232558139535,0.038449612403100776,2.830077519379845,0.9990697674418605,0.6629457364341085,3.8855421686746987
4,41613571.0,4.08042066192391,0.11691927002783792,0.44942777605938755,0.7992576554283947,1.0467058459635015,4.651798561151079
5,109905756.0,25.710353456365343,1.2095714732561778,0.23553331248045042,0.15827338129496402,0.678448545511417,4.151948051948052
6,142299179.0,11.554794520547945,0.23474470734744707,0.013387297633872976,0.009962640099626401,1.195516811955168,7.0905077262693155
7,143894405.0,38.42390963288359,0.36523376215877,0.10887982428616254,0.49356761844995295,0.4524631314716034,3.812200956937799
8,229579492.0,440.0698262243286,0.08909952606635071,0.04296998420221169,0.0612954186413902,1.0018957345971564,4.371546961325967
9,279715787.0,297.3102904040404,0.03756313131313131,0.06092171717171717,0.6275252525252525,0.601010101010101,1.7938844847112119
10,478016217.0,3.4726027397260273,0.06301369863013699,0.012328767123287671,0.00821917808219178,0.8,11.23076923076923
11,518341782.0,5.0534277438043125,0.042162858062439655,0.06211779851947216,0.010621177985194722,1.3318313485677502,12.089494163424124
12,1395978913.0,113.52852852852853,0.24024024024024024,0.06906906906906907,0.23023023023023023,0.35035035035035034,1.9064885496183206
13,1480973431.0,0.10405698358624961,0.07990089811087024,0.0037163208423660575,0.0012387736141220192,0.385877980799009,10.31629392971246
14,2212482667.0,17.38586956521739,0.02717391304347826,0.18478260869565216,0.02717391304347826,0.22826086956521738,1.6140350877192982
15,2212530487.0,27.04232804232804,0.047619047619047616,0.1164021164021164,0.031746031746031744,0.2222222222222222,1.6578947368421053
