,bot,id,tweet_var
0,1,21478911,385.058622
1,1,21479094,385.058622
2,1,21479204,385.058622
3,1,21479275,385.058622
4,1,21479334,385.058622
5,1,21479394,385.058622
6,1,21479442,385.058622
7,1,21479515,385.058622
8,1,21479634,385.058622
9,1,21479698,385.058622
10,1,21479860,385.058622
11,1,21479914,385.058622
12,1,21479977,385.058622
13,1,21480027,385.058622
14,1,21480769,385.058622
15,1,21482763,385.058622
16,1,21483823,385.058622
17,1,21484370,385.058622
18,1,21567392,385.058622
19,1,21567639,385.058622
20,1,21568376,385.058622
21,1,21629042,385.058622
22,1,21629735,385.058622
23,1,21630333,385.058622
24,1,21674676,385.058622
25,1,21677965,385.058622
26,1,21678728,385.058622
27,1,21680130,385.058622
28,1,21681088,385.058622
29,1,21684197,385.058622
30,1,21684270,385.058622
31,1,21685911,385.058622
32,1,21686515,385.058622
33,1,21696097,385.058622
34,1,21705621,385.058622
35,1,21706193,385.058622
36,1,21707595,385.058622
37,1,21713167,385.058622
38,1,21723832,385.058622
39,1,21726078,385.058622
40,1,21728481,385.058622
41,1,21729815,385.058622
42,1,21730510,385.058622
43,1,21730941,385.058622
44,1,21763432,385.058622
45,1,21830006,385.058622
46,1,21965822,385.058622
47,1,21967306,385.058622
48,1,21967510,385.058622
49,1,21967668,385.058622
50,1,21967892,385.058622
51,1,21968201,385.058622
52,1,21968719,385.058622
53,1,21969267,385.058622
54,1,22010527,385.058622
55,1,22025314,385.058622
56,1,22026158,385.058622
57,1,22028233,385.058622
58,1,22028414,385.058622
59,1,22028695,385.058622
60,1,22030301,385.058622
61,1,22030384,385.058622
62,1,22030524,385.058622
63,1,22030724,385.058622
64,1,22032722,385.058622
65,1,22033042,385.058622
66,1,22033273,385.058622
67,1,22036045,385.058622
68,1,22036335,385.058622
69,1,22036558,385.058622
70,1,22036700,385.058622
71,1,22036862,385.058622
72,1,22037090,385.058622
73,1,22037363,385.058622
74,1,22037511,385.058622
75,1,22037687,385.058622
76,1,22054390,385.058622
77,1,22262660,385.058622
78,1,22287588,385.058622
79,1,22293089,385.058622
80,1,22294066,385.058622
81,1,22324329,385.058622
82,1,22328759,385.058622
83,1,22328975,385.058622
84,1,22363501,385.058622
85,1,22363847,385.058622
86,1,22365931,385.058622
87,1,22366503,385.058622
88,1,22369946,385.058622
89,1,22394939,385.058622
90,1,22408580,385.058622
91,1,22411670,385.058622
92,1,22444380,385.058622
93,1,22450103,385.058622
94,1,22516953,385.058622
95,1,22536061,385.058622
96,1,22574982,385.058622
97,1,22578323,385.058622
98,1,22635533,385.058622
99,1,22663627,385.058622
100,1,22726923,385.058622
101,1,22727181,385.058622
102,1,22727451,385.058622
103,1,22727640,385.058622
104,1,22727886,385.058622
105,1,22728115,385.058622
106,1,22728442,385.058622
107,1,22728691,385.058622
108,1,22728906,385.058622
109,1,22729091,385.058622
110,1,22729338,385.058622
111,1,22729851,385.058622
112,1,22729996,385.058622
113,1,22730174,385.058622
114,1,22730342,385.058622
115,1,22730529,385.058622
116,1,22737230,385.058622
